Entity;Code;Day;stringency_index
Ecuador;ECU;06.11.2021;57
Ecuador;ECU;07.11.2021;57
Ecuador;ECU;08.11.2021;57
Ecuador;ECU;09.11.2021;57
Ecuador;ECU;10.11.2021;57
Ecuador;ECU;11.11.2021;57
Ecuador;ECU;12.11.2021;57
Ecuador;ECU;13.11.2021;57
Ecuador;ECU;14.11.2021;57
Ecuador;ECU;15.11.2021;57
Ecuador;ECU;16.11.2021;57
Ecuador;ECU;17.11.2021;57
Ecuador;ECU;18.11.2021;57
Ecuador;ECU;19.11.2021;57
Ecuador;ECU;20.11.2021;57
Ecuador;ECU;21.11.2021;57
Ecuador;ECU;22.11.2021;57
Ecuador;ECU;23.11.2021;57
Ecuador;ECU;24.11.2021;57
Ecuador;ECU;25.11.2021;57
Ecuador;ECU;26.11.2021;57
Ecuador;ECU;27.11.2021;57
Ecuador;ECU;28.11.2021;57
Ecuador;ECU;29.11.2021;57
Ecuador;ECU;30.11.2021;57
Ecuador;ECU;01.12.2021;57
Ecuador;ECU;02.12.2021;57
Ecuador;ECU;03.12.2021;57
Ecuador;ECU;04.12.2021;57
Ecuador;ECU;05.12.2021;57
Ecuador;ECU;06.12.2021;57
Ecuador;ECU;07.12.2021;57
Ecuador;ECU;08.12.2021;57
Ecuador;ECU;09.12.2021;57
Ecuador;ECU;10.12.2021;57
Ecuador;ECU;11.12.2021;57
Ecuador;ECU;12.12.2021;57
Ecuador;ECU;13.12.2021;57
Ecuador;ECU;14.12.2021;57
Ecuador;ECU;15.12.2021;57
Ecuador;ECU;16.12.2021;57
Ecuador;ECU;17.12.2021;57
Ecuador;ECU;18.12.2021;57
Ecuador;ECU;19.12.2021;57
Ecuador;ECU;20.12.2021;57
Ecuador;ECU;21.12.2021;57
Ecuador;ECU;22.12.2021;57
Ecuador;ECU;23.12.2021;63
Ecuador;ECU;24.12.2021;63
Ecuador;ECU;25.12.2021;63
Ecuador;ECU;26.12.2021;63
Ecuador;ECU;27.12.2021;63
Ecuador;ECU;28.12.2021;63
Ecuador;ECU;29.12.2021;63
Ecuador;ECU;30.12.2021;63
Ecuador;ECU;31.12.2021;63
Ecuador;ECU;01.01.2022;63
Ecuador;ECU;02.01.2022;63
Ecuador;ECU;03.01.2022;63
Ecuador;ECU;04.01.2022;63
Ecuador;ECU;05.01.2022;63
Ecuador;ECU;06.01.2022;63
Ecuador;ECU;07.01.2022;63
Ecuador;ECU;08.01.2022;63
Ecuador;ECU;09.01.2022;63
Ecuador;ECU;10.01.2022;63
Ecuador;ECU;11.01.2022;63
Ecuador;ECU;12.01.2022;63
Ecuador;ECU;13.01.2022;63
Ecuador;ECU;14.01.2022;63
Ecuador;ECU;15.01.2022;63
Ecuador;ECU;16.01.2022;63
Ecuador;ECU;17.01.2022;63
Ecuador;ECU;18.01.2022;60
Ecuador;ECU;19.01.2022;60
Ecuador;ECU;20.01.2022;60
