name	nameseq	pangolineage	date	state
150349_S70/B.1.1/2020-11-03/GUAYAS	150349_S70	B.1.1	2020-11-03	GUAYAS
150390_S71/B.1.1/2020-11-04/GUAYAS	150390_S71	B.1.1	2020-11-04	GUAYAS
150409_S72/B.1.1.485/2020-11-04/GUAYAS	150409_S72	B.1.1.485	2020-11-04	GUAYAS
150411_S73/B.1.1.411/2020-11-04/GALAPAGOS	150411_S73	B.1.1.411	2020-11-04	GALAPAGOS
150429_S74/B.1.1.51/2020-10-30/GUAYAS	150429_S74	B.1.1.51	2020-10-30	GUAYAS
150469_S75/B.1.1.207/2020-11-04/GUAYAS	150469_S75	B.1.1.207	2020-11-04	GUAYAS
150484_S76/B.1.1/2020-11-04/GUAYAS	150484_S76	B.1.1	2020-11-04	GUAYAS
150486_S77/B.1.1/2020-11-04/GUAYAS	150486_S77	B.1.1	2020-11-04	GUAYAS
150615_S78/B.1.1.213/2020-11-01/CHIMBORAZO	150615_S78	B.1.1.213	2020-11-01	CHIMBORAZO
150661_S79/B.1.1/2020-11-02/GUAYAS	150661_S79	B.1.1	2020-11-02	GUAYAS
150671_S80/B.1.1/2020-11-03/GUAYAS	150671_S80	B.1.1	2020-11-03	GUAYAS
150728_S81/B.1.1/2020-11-04/BOLIVAR	150728_S81	B.1.1	2020-11-04	BOLIVAR
150768_S82/B.1.1/2020-11-04/GUAYAS	150768_S82	B.1.1	2020-11-04	GUAYAS
150867_S83/B.1.1.411/2020-11-04/GUAYAS	150867_S83	B.1.1.411	2020-11-04	GUAYAS
151178_S36/B.1.1/2020-11-04/MANABI	151178_S36	B.1.1	2020-11-04	MANABI
151319_S39/B.1.1/2020-11-04/GUAYAS	151319_S39	B.1.1	2020-11-04	GUAYAS
156183_S84/B.1.1/2020-11-13/MANABI	156183_S84	B.1.1	2020-11-13	MANABI
156199_S85/B.1.1.434/2020-11-12/SANTO_DOMINGO	156199_S85	B.1.1.434	2020-11-12	SANTO_DOMINGO
156268_S86/B.1.177/2020-11-16/GUAYAS	156268_S86	B.1.177	2020-11-16	GUAYAS
156320_S87/B.1.1.411/2020-11-12/GUAYAS	156320_S87	B.1.1.411	2020-11-12	GUAYAS
156327_S88/B.1.1.411/2020-11-12/GUAYAS	156327_S88	B.1.1.411	2020-11-12	GUAYAS
156354_S89/B.1.1/2020-11-13/GUAYAS	156354_S89	B.1.1	2020-11-13	GUAYAS
156493_S90/B.1.1/2020-11-14/SANTA_ELENA	156493_S90	B.1.1	2020-11-14	SANTA_ELENA
156494_S91/B.1.1/2020-11-14/GUAYAS	156494_S91	B.1.1	2020-11-14	GUAYAS
156508_S93/B.1.1.12/2020-11-16/LOS_RIOS	156508_S93	B.1.1.12	2020-11-16	LOS_RIOS
156516_S94/B.1.1.411/2020-11-16/GUAYAS	156516_S94	B.1.1.411	2020-11-16	GUAYAS
156589_S95/B.1.1.411/2020-11-16/GUAYAS	156589_S95	B.1.1.411	2020-11-16	GUAYAS
156656_S96/B.1.1/2020-11-15/GUAYAS	156656_S96	B.1.1	2020-11-15	GUAYAS
156714_S4/B.1.1/2020-11-15/CHIMBORAZO	156714_S4	B.1.1	2020-11-15	CHIMBORAZO
156715_S5/B.1.1/2020-11-15/CHIMBORAZO	156715_S5	B.1.1	2020-11-15	CHIMBORAZO
156752_S6/B.1.1/2020-11-16/EL_ORO	156752_S6	B.1.1	2020-11-16	EL_ORO
156758_S7/B.1.1/2020-11-16/EL_ORO	156758_S7	B.1.1	2020-11-16	EL_ORO
156813_S10/B.1.1/2020-11-16/GUAYAS	156813_S10	B.1.1	2020-11-16	GUAYAS
157783_S11/B.1.1/2020-11-18/GUAYAS	157783_S11	B.1.1	2020-11-18	GUAYAS
157841_S12/B.1.1/2020-11-16/MANABI	157841_S12	B.1.1	2020-11-16	MANABI
157847_S13/B.1.1/2020-11-16/PICHINCHA	157847_S13	B.1.1	2020-11-16	PICHINCHA
157876_S14/B.1.1.1/2020-11-18/MANABI	157876_S14	B.1.1.1	2020-11-18	MANABI
157880_S15/B.1.1/2020-11-18/MANABI	157880_S15	B.1.1	2020-11-18	MANABI
157884_S16/B.1.1/2020-11-18/MANABI	157884_S16	B.1.1	2020-11-18	MANABI
157887_S17/B.1.1/2020-11-18/MANABI	157887_S17	B.1.1	2020-11-18	MANABI
157893_S18/B.1.1/2020-11-18/MANABI	157893_S18	B.1.1	2020-11-18	MANABI
157894_S19/B.1.1/2020-11-18/MANABI	157894_S19	B.1.1	2020-11-18	MANABI
157895_S20/B.1.1/2020-11-18/MANABI	157895_S20	B.1.1	2020-11-18	MANABI
157896_S21/B.1.1/2020-11-18/MANABI	157896_S21	B.1.1	2020-11-18	MANABI
157920_S22/B.1.1/2020-11-16/MANABI	157920_S22	B.1.1	2020-11-16	MANABI
157940_S23/B.1.1/2020-11-17/SANTA_ELENA	157940_S23	B.1.1	2020-11-17	SANTA_ELENA
157941_S24/B.1.1.411/2020-11-16/SANTA_ELENA	157941_S24	B.1.1.411	2020-11-16	SANTA_ELENA
157942_S25/B.1.1/2020-11-16/SANTA_ELENA	157942_S25	B.1.1	2020-11-16	SANTA_ELENA
157954_S26/B.1.1.28/2020-11-18/GUAYAS	157954_S26	B.1.1.28	2020-11-18	GUAYAS
159_S2/B.1.1/2020-04-29/MANABI	159_S2	B.1.1	2020-04-29	MANABI
15_S8/B.1.1/2020-03-20/GUAYAS	15_S8	B.1.1	2020-03-20	GUAYAS
160561_S55/B.1.1/2020-11-23/CHIMBORAZO	160561_S55	B.1.1	2020-11-23	CHIMBORAZO
1667_S10/B.1.1/2020-03-20/GUAYAS	1667_S10	B.1.1	2020-03-20	GUAYAS
1676_S9/B.1.1.409/2020-03-21/GUAYAS	1676_S9	B.1.1.409	2020-03-21	GUAYAS
170923_S42/B.1.1.411/2020-12-16/GUAYAS	170923_S42	B.1.1.411	2020-12-16	GUAYAS
171306_S45/B.1.1.348/2020-12-17/SANTA_ELENA	171306_S45	B.1.1.348	2020-12-17	SANTA_ELENA
171369_S50/B.1.1.348/2020-12-18/GUAYAS	171369_S50	B.1.1.348	2020-12-18	GUAYAS
171370_S48/B.1.1.348/2020-12-18/GUAYAS	171370_S48	B.1.1.348	2020-12-18	GUAYAS
171415_S43/B.1.1/2020-12-18/GUAYAS	171415_S43	B.1.1	2020-12-18	GUAYAS
171423_S40/B.1.1.411/2020-12-17/GUAYAS	171423_S40	B.1.1.411	2020-12-17	GUAYAS
171439_S37/B.1.1.194/2020-12-16/MANABI	171439_S37	B.1.1.194	2020-12-16	MANABI
